4008,0,72,1,4096,0,0,0,
0,4094,64,2,88,4008,0,0,
16,0,12,1,28,2013,2055,4034,
0,3893,68,2,3461,507,128,3449,
3910,12,64,3,1835,140,2121,2267,
0,36,16,2,-2087,4050,2133,0,
0,115,36,2,-1145,3407,1834,978,
0,3597,66,2,1605,2064,427,2865,
3087,0,88,1,1579,848,1669,3571,
4,3255,72,3,630,2694,772,2138,
2,0,2,1,-467,1849,2714,2162,
0,3114,98,2,2379,976,741,2848,
3516,9,68,3,1680,488,1928,2415,
0,2801,80,2,1029,2067,1000,2874,
3904,5,64,3,2001,146,1949,3773,
5,0,4,1,586,2370,1140,2494,
0,3349,72,2,2337,1189,570,1756,
3233,2,68,3,601,804,2691,1613,
5,0,4,1,294,2287,1515,2928,
0,3954,68,2,3991,78,27,3702,
3954,0,66,1,3762,40,294,3725,
4,0,4,1,3431,517,148,3623,
3848,0,70,1,3892,130,74,465,
3926,0,68,1,4020,73,3,3976,
0,4080,66,2,732,3361,3,638,
7,0,6,1,-3348,3361,4083,0,
0,1,2,2,-2162,2863,3395,1193,
0,70,36,2,931,1449,1716,3094,
3530,0,66,1,2715,421,960,1854,
0,3466,66,2,1241,2298,557,2056,
3849,0,66,1,1734,202,2160,3959,
0,1207,132,2,-517,3006,1607,1598,
274,7,76,3,1186,1503,1407,2910,
0,2472,112,2,2911,461,724,2006,
0,21,10,2,3147,120,829,2708,
0,3387,82,2,3611,60,425,485,
4052,0,64,1,1495,20,2581,1271,
3105,0,80,1,1781,800,1515,4338,
3105,3851,72,3,2931,976,189,4255,
0,6,4,2,-1897,3007,2986,2128,
0,53,20,2,198,2234,1664,2101,
1,11,8,3,145,2234,1717,0,
2863,0,118,1,2089,903,1104,1956,
0,3669,68,2,3344,474,278,4118,
3615,0,64,1,-325,474,3947,0,
2877,0,78,1,1100,1022,1974,5040,
0,3288,76,2,2838,661,597,4615,
0,10,8,2,2266,404,1426,2716,
3691,0,72,1,3168,275,653,912,
3456,0,82,1,3246,463,387,3769,
0,3867,68,2,3365,616,115,3575,
3557,0,64,1,240,514,3342,742,
3941,0,64,1,2132,112,1852,5449,
0,687,80,2,2904,260,932,4713,
3750,0,68,1,2217,260,1619,0,
0,2898,68,2,1249,2029,818,2782,
1658,0,134,1,-164,1510,2750,1485,
3071,0,84,1,1547,801,1748,3369,
0,3059,80,2,1263,1950,883,2787,
2194,0,126,1,57,1320,2719,1853,
0,111,26,2,12,2604,1480,2149,
0,1356,156,2,-99,2604,1591,0,
0,3625,66,2,2422,1305,369,3877,
3316,19,68,3,1441,655,2000,2644,
3412,3454,68,3,2831,666,599,4725,
3974,0,66,1,2802,57,1237,6837,
6,0,4,1,1723,2053,320,2895,
0,3757,64,2,2099,1734,263,382,
2702,0,100,1,2720,869,507,4378,
0,3641,66,2,678,2998,420,660,
0,8,8,2,-1256,2508,2844,1707,
3941,0,66,1,3099,82,915,4363,
0,3380,74,2,1594,1876,626,2436,
3368,0,104,1,3355,478,263,5141,
0,3826,66,2,-13,3846,263,0,
3,0,4,1,-1807,2866,3037,2032,
0,3431,68,2,1927,1628,541,3737,
3143,0,74,1,1177,845,2074,2681,
0,1978,202,2,-429,2978,1547,1537,
1,0,2,1,830,1494,1772,3237,
3469,0,68,1,2635,474,987,1806,
0,3524,64,2,1578,2014,504,2412,
3414,0,68,1,2577,506,1013,4523,
0,3333,66,2,735,2669,692,1572,
2695,3502,86,3,2246,1341,509,4844,
0,2868,78,2,1029,2044,1023,4980,
0,10,4,2,1805,1114,1177,3644,
0,2920,102,2,2326,928,842,531,
3378,0,68,1,2290,544,1262,2884,
0,3441,66,2,839,2666,591,1927,
187,14,40,3,45,1600,2451,2647,
0,10,6,2,501,1535,2060,657,
2,0,2,1,1054,1303,1739,563,
999,0,104,1,1052,1305,1739,0,
2424,3026,104,3,2004,1194,898,1951,
3,0,4,1,-2247,3034,3309,1199,
3252,3234,84,3,2510,759,827,4760,
